1.1652 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
63.7055 	EXP 	text: height = 0.05
63.7055 	EXP 	text: height = 0.05
63.7055 	EXP 	text: height = 0.05
63.7055 	EXP 	text: text = ' GBP 27.0 today  or  GBP 50.0 after 21.0 days '
63.7055 	EXP 	fixation: autoDraw = True
64.7056 	EXP 	fixation: autoDraw = False
64.7056 	EXP 	text: autoDraw = True
66.8928 	DATA 	Keypress: l
66.9059 	EXP 	fixation: autoDraw = False
66.9059 	EXP 	text: autoDraw = False
66.9336 	EXP 	window1: mouseVisible = True
